Codes,City,Country
COO,Cotonou,BENIN
CPH,Copenhagen,DENMARK
CPT,Cape Town,SOUTH AFRICA
CQG,Chongqing,CHINA
CRT,Corinto,NICARAGUA
CSU,Changshu,CHINA
CSX,Changsha,CHINA
CTG,Cartagena,COLOMBIA
CUR,Curacao,ANTILLES NETH.
BUE,Buenos Aires,ARGENTINA
CWN,Chiwan,CHINA
CZH,Changzhou,CHINA
DAD,Danang,VIET NAM
DAR,Dar es Salaam,TANZANIA
DCB,Da Chan Bay,CHINA
DFW,Dallas,U.S.A.
DGG,Dongguan,CHINA
DIL,Dili,E.TIMOR
DKR,Dakar,SENEGAL
DLA,Douala,CAMEROUN
LON,London,England
DLC,Dalian,CHINA
DMM,Dammam,SAUDI ARABIA
DMP,Dampier,AUSTRALIA
DOH,Doha,QATAR
DRC,Derince,TURKEY
DRW,Darwin,AUSTRALIA
DTT,Detroit,U.S.A.
DUB,Dublin,IRELAND
DUR,Durban,SOUTH AFRICA
DVO,Davao,PHILIPPINES
EBY,Ebeye,MARSHALL IS.
ELS,East London,SOUTH AFRICA
ESM,Esmeraldas,ECUADOR
ESN,Ensenada,MEXICO
FLX,Felixstowe,U.K.
FNA,Freetown,SIERRA LEONE
FOS,Fos,FRANCE
FPO,Freeport,BAHAMAS
FSH,Foshan,CHINA
FTL,Fremantle,AUSTRALIA
FUQ,Fuqing,CHINA
FUZ,Fuzhou,CHINA
GDY,Gdynia,POLAND
GEB,Gebze,TURKEY
GEE,Geelong,AUSTRALIA
GEM,Gemlik,TURKEY
GEO,Georgetown,GUYANA
GES,General Santos,PHILIPPINES
GLT,Gladstone,AUSTRALIA
GOA,Genova,ITALY
GOT,Gothenburg,SWEDEN
GSN,Gunsan,KOREA
GTU,Gioia Tauro,ITALY
GUG,Guangzhou,CHINA
GUM,Guam,NORTHERN MARIANAS
GYE,Guayaquil,ECUADOR
HAM,Hamburg,GERMANY
HBT,Hambantota,SRI LANKA
HFA,Haifa,ISRAEL
HIR,Honiara,SOLOMON ISLANDS
HKG,Hongkong,CHINA
HLD,Haldia,INDIA
HMZ,Haimen,CHINA
HNL,Honolulu,U.S.A.
HOU,Houston,U.S.A.
HPH,Haiphong,VIET NAM
HUG,Huangpu,CHINA
ILM,Wilmington,U.S.A.
IND,Indianapolis,U.S.A.
INH,Incheon,KOREA
IPA,Itapoa,BRAZIL
IQQ,Iquique,CHILE
ISE,Iskenderun,TURKEY
IST,Istanbul,TURKEY
ITG,Itaguai,BRAZIL
ITJ,Itajai,BRAZIL
ITQ,Itaqui,BRAZIL
IVK,Ilyichevsk,UKRAINE
IZK,Izmit Korfezi,TURKEY
IZM,Izmir,TURKEY
JAX,Jacksonville,U.S.A.
JBA,Jebel Ali,U.A.E.
JED,Jeddah,SAUDI ARABIA
JGM,Jiangmen,CHINA
JHR,Johore,MALAYSIA
JIA,Jiangyin,CHINA
JIB,Djibouti,DJIBOUTI
JIU,Jiujiang,CHINA
JKT,Jakarta,INDONESIA
JNB,Johannesburg,SOUTH AFRICA
KAX,King Abdullah Port,SAUDI ARABIA
KCH,Kuching,MALAYSIA
KFN,Khor Fakkan,U.A.E.
KHH,Kaohsiung,TAIWAN
KHI,Karachi,PAKISTAN
KHN,Nanchang,CHINA
KIN,Kingston,JAMAICA
KLG,Keelung,TAIWAN
KOP,Koper,SLOVENIA
KPO,Pohang,KOREA
KSR,Kosrae,MICRONESIA
KWI,Kuwait,KUWAIT
KWY,Kwangyang,KOREA
LAD,Luanda,ANGOLA
LAE,Lae,PAPUA NEW GUINEA
LAG,La Guaira,VENEZUELA
LAT,Lautoka,FIJI
LAX,Los Angeles,U.S.A.
LBT,Lobito,ANGOLA
LCA,Larnaca,CYPRUS
LCB,Laem Chabang,THAILAND
LCG,Corunna,SPAIN
LED,St.Petersburg,RUSSIAN
LEH,Le Havre,FRANCE
LFF,Lafiteau,HAITI
LFW,Lome,TOGO
LGB,Long Beach,U.S.A.
LHS,Lianhuashan,CHINA
LIR,Lirquen,CHILE
LIS,Lisbon,PORTUGAL
LIU,Lianyungang,CHINA
LKG,Lat Krabang,THAILAND
LMS,Limassol,CYPRUS
LOS,Lagos,NIGERIA
LPA,LasPalmas,CANARY ISLAND
LPE,La Spezia,ITALY
LYT,Lyttelton,NEW ZEALAND
MAA,Chennai,INDIA
MAJ,Majuro,MARSHALL ISLANDS
MBA,Mombasa,KENYA
MEL,Melbourne,AUSTRALIA
MEM,Memphis,U.S.A.
MER,Mersin,TURKEY
MIA,Miami,U.S.A.
MLA,Malta,MALTA
MLW,Monrovia,LIBERIA
MNL,Manila,PHILIPPINES
MNY,Masan,KOREA
MNZ,Mongla,BANGLADESH
MOB,Mobile,U.S.A.
MOK,Mokpo,KOREA
MPM,Maputo,MOZAMBIQUE
MRA,Misurata,LIBYA
MRH,Morehead City,U.S.A.
MRK,Merak,INDONESIA
MSW,Massawa,ERITREA
MSY,New Orleans,U.S.A.
MTD,Matadi,"CONGO,D.R.OF"
MTX,Montoir,FRANCE
MUN,Mundra,INDIA
MVD,Montevideo,URUGUAY
MWN,Mawan,"CHINA,P.R.OF"
MXL,Mexicali,MEXICO
MZZ,Muara,BRUNEI
NAC,Nacala,MOZAMBIQUE
NAK,Newark,U.S.A.
NAS,Nassau,BAHAMAS
NCL,Newcastle,U.K.
NDE,New Delhi,INDIA
NDK,Nakhodka,RUSSIAN
NFA,Nukualofa,TONGA
NHV,Nhava Sheva,INDIA
NIB,Ningbo,CHINA
NKG,Nanjing,CHINA
NNH,Nanhai,CHINA
NNS,Nansha,CHINA
NOU,Noumea,NOUVELLE CALEDONIE
NPE,Napier,NEW ZEALAND
NPL,New Plymouth,NEW ZEALAND
NSN,Nelson,NEW ZEALAND
NTG,Nantong,CHINA
NTL,Newcastle,AUSTRALIA
NVG,Navegantes,BRAZIL
NVS,Novorossiysk,RUSSIAN
NYC,New York,U.S.A.
OAK,Oakland,U.S.A.
ODS,Odessa,UKRAINE
OFK,Norfolk,U.S.A.
ONE,Onne,NIGERIA
ONX,Colon,PANAMA
ORN,Oran,ALGERIA
OSL,Oslo,NORWAY
PAE,Everett,U.S.A.
PBL,Puerto Cabello,VENEZUELA
PBM,Paramaribo,SURINAM
PCD,Puerto Caldera,COSTA RICA
PCR,Port Chalmers,NEW ZEALAND
PCT,Puerto Cortes,HONDURAS
PEN,Penang,MALAYSIA
PES,Piraeus,GREECE
PGG,Pasir Gudang,MALAYSIA
PHE,Port Hedland,AUSTRALIA
PHF,Newport News,U.S.A.
PHL,Philadelphia,U.S.A.
PKG,Port Kelang,MALAYSIA
PKM,Port Kembla,AUSTRALIA
PLC,P.L.Cardenas,MEXICO
PLM,Palembang,INDONESIA
PLN,Puerto Limon,COSTA RICA
PLU,Port Louis,MAURITIUS
PLZ,Port Elizabeth,SOUTH AFRICA
PNG,Paranagua,BRAZIL
PNH,Phnom Penh,CAMBODIA
PNI,Pohnpei,MICRONESIA
PNR,Pointe Noire,CONGO
POM,Port Moresby,PAPUA NEW GUINEA
POS,Port of Spain,TRINIDAD AND TOBAGO
PPG,Pago Pago,SAMOA
PPT,Papeete,TAHITI ISLANDS.
PQZ,Puerto Quetzal,GUATEMALA
PRD,Pearl River Delta,CHINA
PSD,Port Said,EGYPT
PTI,Poti,GEORGIA
PTJ,Portland,AUSTRALIA
PTZ,Point Lisas,TRINIDAD AND TOBAGO
PUS,Busan,KOREA
PVV,Pipavav,INDIA
PZU,Port Sudan,SUDAN
QIN,Qinhuangdao,CHINA
QSR,Salerno,ITALY
QUA,Quanzhou,CHINA
QZH,Qinzhou,CHINA
RAB,Rabaul,PAPUA NEW GUINEA
RGN,Yangon,MYANMAR
RGQ,Rongqi,CHINA
RIG,Rio Grande,BRAZIL
RIO,Rio De Janeiro,BRAZIL
RIX,Riga,LATVIA
RJK,Rijeka,CROATIA
ROR,Koror,PALAU(BELAU)
RTM,Rotterdam,NETHERLANDS
RUH,Riyadh,SAUDI ARABIA
SAA,San Antonio,CHILE
SAL,San Salvador,EL SALVADOR
SAU,Shantou,CHINA
SAV,Savannah,U.S.A.
SBB,Subic Bay,PHILIPPINES
SDN,Shuidong,CHINA
SDZ,Shidao,CHINA
SEA,Seattle,U.S.A.
SFI,Safi,MOROCCO
SGN,Hochiminh City,VIET NAM
SHA,Shanghai,CHINA
SHJ,Sharjah,U.A.E.
SHP,Sokhna Port,EGYPT
SIM,Siam,THAILAND
SIN,Singapore,SINGAPORE
SJO,San Jose,COSTA RICA
SJU,San Juan,PUERTO RICO
SKA,Skikda,ALGERIA
SKG,Thessaloniki,GREECE
SKU,Shekou,CHINA
SKV,Sihanoukville,CAMBODIA
SOU,Southampton,U.K.
SOZ,Sohar,OMAN
SPN,Saipan,NORTHERN MARIANAS
SPY,San Pedro,COTE D’IVOIRE
SRG,Semarang,INDONESIA
SST,Santo,VANUATU
SSZ,Santos,BRAZIL
SUB,Surabaya,INDONESIA
SUV,Suva,FIJI
SVT,San Vicente,CHILE
SYD,Sydney,AUSTRALIA
SZD,Shunde,CHINA
SZH,Shenzhen,CHINA
SZS,Sines,PORTUGAL
SZT,Santo Tomas,GUATEMALA
TAO,Qingdao,CHINA
TCG,Taichung,TAIWAN
TCI,Tenerife,CANARY ISLAND
TCM,Tacoma,U.S.A.
TCZ,Taicang,CHINA
TGN,Tanjung Manis,MALAYSIA
TIC,Tincan,NIGERIA
TIJ,Tijuana,MEXICO
TIP,Tripoli,LIBYA
TIU,Timaru,NEW ZEALAND
TKK,Chuuk,MICRONESIA
TKR,Takoradi,GHANA
TKZ,Tekirdag,TURKEY
TMA,Tema,GHANA
TMM,Tamatave,MADAGASCAR
TPE,Taipei,TAIWAN
TPP,Tanjung Pelepas,MALAYSIA
TRG,Tauranga,NEW ZEALAND
TRS,Trieste,ITALY
TRW,Tarawa,KIRIBATI
TSU,Townsville,AUSTRALIA
TUN,Tunis,TUNISIA
TZU,Taizhou,CHINA
UKB,Kobe,JAPAN
UMM,Umm Qasr,IRAQ
UPG,Makassar,INDONESIA
USN,Ulsan,KOREA
VCE,Venice,ITALY
VGO,Vigo,SPAIN
VIX,Vitoria,BRAZIL
VLA,Vila,VANUATU
VLC,Valencia,SPAIN
VOS,Vostochny,RUSSIAN
VPS,Valparaiso,CHILE
VTT,Valletta,MALTA
VTZ,Visakhapatnam,INDIA
VVO,Vladivostok,RUSSIAN
WHI,Weihai,CHINA
WLG,Wellington,NEW ZEALAND
WUH,Wuhan,CHINA
WUX,Wuxi,CHINA
WUZ,Wuhu,CHINA
WVB,Walvis Bay,NAMIBIA
WVN,Wilhelmshaven,GERMANY
WZO,Wenzhou,CHINA
XIA,Xiamen,CHINA
XIN,Xingang,CHINA
YAP,Yap,MICRONESIA
YGU,Yangzhou,CHINA
YHZ,Halifax,CANADA
YIG,Yichang,CHINA
YIN,Yingkou,CHINA
YNN,Yantian,CHINA
YNT,Yantai,CHINA
YOK,Yokohama,JAPAN
YUL,Montreal,CANADA
YVR,"Vancouver,BC",CANADA
YYZ,Toronto,CANADA
ZEE,Zeebrugge,BELGIUM
ZHA,Zhangjiagang,CHINA
ZHE,Zhenjiang,CHINA
ZHG,Zhanjiang,CHINA
ZHI,Zhuhai,CHINA
ZHP,Zhapu,CHINA
ZLO,Manzanillo,MEXICO
ZLZ,Manzanillo,PANAMA
ZNZ,Zanzibar,TANZANIA
ZOH,Zhoushan,CHINA
ZSH,Zhongshan,CHINA
